chrom	pos	strand	cov	percent_mod
JBJJSR010000001.1	259	-	156	64.0
JBJJSR010000001.1	779	-	205	2.38
JBJJSR010000001.1	1062	+	194	1.02
JBJJSR010000001.1	1661	-	241	82.0
JBJJSR010000001.1	2002	+	209	94.0
JBJJSR010000001.1	2336	-	222	2.2
JBJJSR010000001.1	2393	-	309	64.0
JBJJSR010000001.1	3077	+	274	72.0
JBJJSR010000001.1	3105	-	130	4.96
JBJJSR010000001.1	3158	-	320	1.23
JBJJSR010000001.1	3414	+	321	93.0
JBJJSR010000001.1	3545	-	330	60.0
JBJJSR010000001.1	3651	+	280	71.0
JBJJSR010000001.1	3777	+	327	61.0
JBJJSR010000001.1	3790	-	310	64.0
JBJJSR010000001.1	3821	+	296	67.0
JBJJSR010000001.1	4049	-	10	96.2
JBJJSR010000001.1	4051	+	15	90.96
JBJJSR010000001.1	4059	-	16	90.8
JBJJSR010000001.1	4061	+	21	89.06
JBJJSR010000001.1	4062	-	214	1.83
JBJJSR010000001.1	4496	-	361	82.0
JBJJSR010000001.1	4604	+	281	70.0
JBJJSR010000001.1	4638	-	279	71.0
JBJJSR010000001.1	4877	-	370	80.0
JBJJSR010000001.1	5093	+	291	1.35
JBJJSR010000001.1	5329	-	336	1.18
JBJJSR010000001.1	5379	-	11	96.5
JBJJSR010000001.1	5381	+	6	96.36
JBJJSR010000001.1	5842	+	375	79.0
JBJJSR010000001.1	5931	-	23	4.17
JBJJSR010000001.1	5949	+	337	2.6
JBJJSR010000001.1	6053	+	335	89.0
JBJJSR010000001.1	6054	-	26	88.39
JBJJSR010000001.1	6056	+	15	92.99
JBJJSR010000001.1	6353	-	377	1.82
JBJJSR010000001.1	6408	-	369	81.0
JBJJSR010000001.1	6495	+	375	79.0
JBJJSR010000001.1	6751	+	288	7.96
JBJJSR010000001.1	6853	+	248	1.59
JBJJSR010000001.1	6854	-	56	43.43
JBJJSR010000001.1	6856	+	30	89.8
JBJJSR010000001.1	6951	-	27	3.57
JBJJSR010000001.1	7032	-	322	61.0
JBJJSR010000001.1	7120	-	7	97.95
JBJJSR010000001.1	7122	+	5	98.42
JBJJSR010000001.1	7290	+	386	2.03
JBJJSR010000001.1	7480	-	383	3.04
JBJJSR010000001.1	7647	+	355	2.74
JBJJSR010000001.1	7778	-	228	87.0
JBJJSR010000001.1	7783	-	381	78.0
JBJJSR010000001.1	7850	-	416	95.0
JBJJSR010000001.1	7932	+	345	86.0
JBJJSR010000001.1	8124	+	330	1.2
JBJJSR010000001.1	8244	+	390	1.02
JBJJSR010000001.1	8273	-	428	1.83
JBJJSR010000001.1	8547	+	375	1.05
JBJJSR010000001.1	8600	-	11	96.25
JBJJSR010000001.1	8602	+	17	94.72
JBJJSR010000001.1	8865	+	384	78.0
JBJJSR010000001.1	9009	-	360	1.63
JBJJSR010000001.1	9153	-	20	92.86
JBJJSR010000001.1	9155	+	16	94.65
JBJJSR010000001.1	9316	+	223	88.0
JBJJSR010000001.1	9655	+	325	61.0
JBJJSR010000001.1	9727	+	337	3.71
JBJJSR010000001.1	9800	+	319	62.0
JBJJSR010000001.1	9893	-	325	1.81
JBJJSR010000001.1	9945	+	297	67.0
JBJJSR010000001.1	9993	+	329	60.0
JBJJSR010000001.1	10413	+	290	1.02
JBJJSR010000001.1	10639	-	406	1.21
JBJJSR010000001.1	10877	+	275	2.14
JBJJSR010000001.1	10878	-	395	75.0
JBJJSR010000001.1	10899	+	310	64.0
JBJJSR010000001.1	11079	-	410	97.0
JBJJSR010000001.1	11170	+	387	1.53
JBJJSR010000001.1	11191	-	22	92.6
JBJJSR010000001.1	11193	+	13	96.04
JBJJSR010000001.1	11253	-	389	77.0
JBJJSR010000001.1	11272	+	203	97.0
JBJJSR010000001.1	11273	-	23	92.12
JBJJSR010000001.1	11275	+	30	79.31
JBJJSR010000001.1	11276	-	229	2.97
JBJJSR010000001.1	11485	+	357	83.0
JBJJSR010000001.1	11521	-	20	4.76
JBJJSR010000001.1	11614	+	238	83.0
JBJJSR010000001.1	11616	+	329	2.08
JBJJSR010000001.1	12000	+	323	92.0
JBJJSR010000001.1	12239	+	275	1.4
JBJJSR010000001.1	12533	-	318	62.0
JBJJSR010000001.1	12756	-	396	1.24
JBJJSR010000001.1	13032	+	328	61.0
JBJJSR010000001.1	13217	+	245	81.0
JBJJSR010000001.1	13227	+	299	99.0
JBJJSR010000001.1	13273	+	245	1.2
JBJJSR010000001.1	13334	-	10	96.88
JBJJSR010000001.1	13336	+	11	96.75
JBJJSR010000001.1	13368	+	329	60.0
JBJJSR010000001.1	13369	-	164	1.11
JBJJSR010000001.1	13387	+	222	89.0
JBJJSR010000001.1	13445	-	16	95.39
JBJJSR010000001.1	13447	+	17	93.44
JBJJSR010000001.1	13471	-	8	97.88
JBJJSR010000001.1	13473	+	6	98.09
JBJJSR010000001.1	13870	+	282	4.41
JBJJSR010000001.1	13871	-	267	74.0
JBJJSR010000001.1	13908	-	25	93.15
JBJJSR010000001.1	13910	+	4	97.72
JBJJSR010000001.1	14189	+	318	1.55
JBJJSR010000001.1	14999	-	434	91.0
JBJJSR010000001.1	15348	-	411	1.44
JBJJSR010000001.1	15779	+	276	1.43
JBJJSR010000001.1	15780	-	396	1.74
JBJJSR010000001.1	16002	-	435	68.0
JBJJSR010000001.1	16234	-	383	1.29
JBJJSR010000001.1	16256	-	363	1.36
JBJJSR010000001.1	16989	+	300	66.0
JBJJSR010000001.1	17309	-	367	1.08
JBJJSR010000001.1	18174	-	419	95.0
JBJJSR010000001.1	18321	-	368	1.08
JBJJSR010000001.1	18413	+	325	61.0
JBJJSR010000001.1	18420	-	402	99.0
JBJJSR010000001.1	18526	-	4	98.98
JBJJSR010000001.1	18528	+	10	96.28
JBJJSR010000001.1	18880	+	381	1.04
JBJJSR010000001.1	18961	+	355	84.0
JBJJSR010000001.1	18978	+	377	79.0
JBJJSR010000001.1	19179	+	343	2.0
JBJJSR010000001.1	19269	+	313	63.0
JBJJSR010000001.1	19392	-	430	1.38
JBJJSR010000001.1	19407	-	429	69.0
JBJJSR010000001.1	19429	+	335	4.55
JBJJSR010000001.1	19551	+	346	1.98
JBJJSR010000001.1	19715	+	310	1.27
JBJJSR010000001.1	19716	-	386	1.28
JBJJSR010000001.1	19895	+	310	64.0
JBJJSR010000001.1	20039	+	20	9.09
JBJJSR010000001.1	20514	-	373	1.06
JBJJSR010000001.1	20658	+	330	60.0
JBJJSR010000001.1	20755	-	402	99.0
JBJJSR010000001.1	21024	+	329	2.66
JBJJSR010000001.1	21045	+	340	1.45
JBJJSR010000001.1	21413	+	251	79.0
JBJJSR010000001.1	21601	+	329	90.0
JBJJSR010000001.1	22290	+	276	1.08
JBJJSR010000001.1	22561	-	318	62.0
JBJJSR010000001.1	22669	-	327	91.0
JBJJSR010000001.1	22809	-	28	91.62
JBJJSR010000001.1	22811	+	14	94.35
JBJJSR010000001.1	23208	-	4	98.73
JBJJSR010000001.1	23210	+	8	96.9
JBJJSR010000001.1	23839	+	235	84.0
JBJJSR010000001.1	24381	-	256	1.16
JBJJSR010000001.1	24454	+	124	79.0
JBJJSR010000001.1	24539	+	32	3.03
JBJJSR010000001.1	24964	-	9	96.77
JBJJSR010000001.1	24966	+	6	98.02
JBJJSR010000001.1	25269	+	321	62.0
JBJJSR010000001.1	25677	+	331	89.0
JBJJSR010000001.1	26042	-	334	60.0
JBJJSR010000001.1	26696	+	384	77.0
JBJJSR010000001.1	26943	-	315	1.25
JBJJSR010000001.1	27149	+	274	1.44
JBJJSR010000001.1	27416	-	386	1.03
JBJJSR010000001.1	27418	+	335	1.18
JBJJSR010000001.1	27445	-	341	1.73
JBJJSR010000001.1	27555	-	350	1.13
JBJJSR010000001.1	27900	-	392	1.26
JBJJSR010000001.1	27971	-	35	89.6
JBJJSR010000001.1	27973	+	6	98.11
JBJJSR010000001.1	28496	-	15	95.39
JBJJSR010000001.1	28498	+	16	94.18
JBJJSR010000001.1	28750	-	357	1.38
JBJJSR010000001.1	28770	-	347	85.0
JBJJSR010000001.1	28894	-	35	87.63
JBJJSR010000001.1	28896	+	14	95.53
JBJJSR010000001.1	28937	-	278	71.0
JBJJSR010000001.1	29454	+	279	71.0
JBJJSR010000001.1	29468	+	345	1.15
JBJJSR010000001.1	29634	-	319	1.84
JBJJSR010000001.1	29686	+	328	2.38
JBJJSR010000001.1	29734	+	332	90.0
JBJJSR010000001.1	29901	+	373	80.0
JBJJSR010000001.1	30154	+	276	71.0
JBJJSR010000001.1	30197	+	304	65.0
JBJJSR010000001.1	30380	-	388	1.52
JBJJSR010000001.1	30618	+	276	1.43
JBJJSR010000001.1	30619	-	395	1.25
JBJJSR010000001.1	30640	+	293	1.68
JBJJSR010000001.1	30650	+	263	75.0
JBJJSR010000001.1	30820	-	396	75.0
JBJJSR010000001.1	30911	+	360	83.0
JBJJSR010000001.1	30932	-	33	89.7
JBJJSR010000001.1	30934	+	16	94.7
JBJJSR010000001.1	30959	-	308	64.0
JBJJSR010000001.1	30983	+	23	4.17
JBJJSR010000001.1	31013	+	195	1.02
JBJJSR010000001.1	31014	-	28	89.74
JBJJSR010000001.1	31016	+	60	61.04
JBJJSR010000001.1	31017	-	221	5.56
JBJJSR010000001.1	31197	-	344	86.0
JBJJSR010000001.1	31357	+	306	4.67
JBJJSR010000001.1	31509	-	260	76.0
JBJJSR010000001.1	31741	+	293	1.35
JBJJSR010000001.1	32049	+	334	60.0
